Time	TSorb	T1Kpot	TSample	366x_Ch1	366x_Ch2	366y_Ch1	366y_Ch2	363x_Ch1	363x_Ch2	363y_Ch1	363y_Ch2	366freq	363freq
22.374279499053955	32.0	4.2692	4.3686	3.52041e-06	4.21878	1.32621e-06	1.21095	6.44478e-06	2.92189	-4.2841e-07	156.743	14.499	13.309
23.133322954177856	32.0	4.2696	4.3694	3.52041e-06	4.28909	1.3169e-06	1.35938	6.45596e-06	2.89064	-4.15372e-07	155.962	14.499	13.309
23.883365869522095	32.0	4.2697	4.369	3.51855e-06	4.36722	1.3141e-06	1.07032	6.45968e-06	2.62502	-4.15372e-07	155.196	14.499	13.309
24.642409324645996	32.0	4.2704	4.3688	3.51389e-06	4.21097	1.32155e-06	1.03126	6.49694e-06	2.69533	-4.24685e-07	155.446	14.499	13.309
25.39045214653015	32.0	4.2702	4.3692	3.50644e-06	4.23441	1.32249e-06	0.953129	6.45968e-06	2.79689	-4.24685e-07	154.704	14.499	13.309
26.145495176315308	32.0	4.2694	4.3693	3.50644e-06	4.29691	1.329e-06	0.945316	6.44106e-06	3.10158	-4.2841e-07	155.251	14.499	13.309
26.895538091659546	32.001	4.2699	4.3694	3.50924e-06	4.27347	1.3318e-06	1.17188	6.42988e-06	3.20314	-4.22822e-07	155.548	14.499	13.309
27.65658187866211	32.0	4.2702	4.3692	3.5111e-06	4.29691	1.32714e-06	1.75001	6.45968e-06	2.7422	-4.2841e-07	155.884	14.499	13.309
28.40062427520752	32.0	4.2695	4.3689	3.51296e-06	4.32816	1.32528e-06	1.37501	6.47458e-06	2.58595	-4.17234e-07	154.54	14.499	13.309
29.156667470932007	32.0	4.2696	4.3684	3.51855e-06	4.20316	1.31783e-06	0.976566	6.45596e-06	2.77345	-4.2096e-07	155.649	14.499	13.309
29.908710479736328	32.0	4.2699	4.3688	3.51855e-06	4.10159	1.32249e-06	0.835941	6.46713e-06	2.71095	-4.30273e-07	155.97	14.499	13.309
30.662753582000732	32.0	4.2701	4.3696	3.51669e-06	4.13284	1.329e-06	1.17188	6.49694e-06	2.87502	-4.45174e-07	155.173	14.499	13.309
31.414796590805054	32.0	4.2692	4.3696	3.51017e-06	4.21878	1.32714e-06	1.26563	6.47086e-06	3.06252	-4.2841e-07	154.782	14.499	13.309
32.16983985900879	4.2694	4.2694	4.3693	3.50924e-06	4.32034	1.32714e-06	1.1172	6.46713e-06	2.96877	-4.17234e-07	154.345	14.499	13.309
32.88688087463379	32.0	4.2699	4.3699	3.51389e-06	4.32816	1.32714e-06	1.1797	6.45223e-06	3.04689	-4.13509e-07	154.165	14.499	13.309
33.648924589157104	32.0	4.2693	4.3692	3.51389e-06	4.22659	1.329e-06	0.945316	6.46713e-06	2.92189	-4.13509e-07	154.548	14.499	13.309
34.40496754646301	32.0	4.2697	4.3692	3.51669e-06	4.17191	1.32528e-06	1.40626	6.45223e-06	2.89064	-4.11646e-07	154.743	14.499	13.309
35.157010555267334	32.0	4.2698	4.3693	3.51762e-06	4.32034	1.32994e-06	1.8047	6.43361e-06	2.9922	-4.13509e-07	155.118	14.499	13.309
35.90705347061157	32.0	4.2702	4.369	3.51389e-06	4.36722	1.32714e-06	1.40626	6.46341e-06	3.03127	-4.19097e-07	155.188	14.499	13.309
36.66409683227539	32.0	4.2698	4.369	3.51855e-06	4.27347	1.3318e-06	0.945316	6.50066e-06	2.81252	-4.2096e-07	155.274	14.499	13.309
37.40913963317871	32.0	4.2702	4.369	3.51855e-06	4.23441	1.33366e-06	0.570316	6.47831e-06	2.82033	-4.17234e-07	154.54	14.499	13.309
38.1651828289032	32.0	4.2699	4.3697	3.51576e-06	4.21097	1.33087e-06	1.03126	6.45968e-06	2.89064	-4.15372e-07	155.017	14.499	13.309
38.91622567176819	32.0	4.2702	4.3693	3.51389e-06	4.25003	1.33646e-06	0.742191	6.44478e-06	2.8672	-4.2096e-07	154.712	14.499	13.309
39.67026877403259	32.0	4.27	4.3691	3.50458e-06	4.31253	1.33273e-06	0.570316	6.43733e-06	2.9297	-4.19097e-07	153.696	14.499	13.309
40.41931176185608	32.0	4.2695	4.3694	3.50551e-06	4.13284	1.32528e-06	0.484377	6.42243e-06	2.96877	-4.22822e-07	154.431	14.499	13.309
41.18035531044006	32.0	4.2694	4.3685	3.5111e-06	4.03128	1.31783e-06	0.515629	6.42988e-06	2.9922	-4.15372e-07	154.259	14.499	13.309
41.92839789390564	32.0	4.2693	4.369	3.51389e-06	4.10941	1.32155e-06	0.921879	6.44478e-06	2.98439	-4.13509e-07	154.923	14.499	13.309
42.684441328048706	32.0	4.2692	4.3685	3.5111e-06	4.26566	1.32714e-06	0.945316	6.4038e-06	2.82814	-4.2096e-07	156.024	14.499	13.309
43.43348407745361	32.0	4.2696	4.3687	3.50924e-06	4.35159	1.32714e-06	0.687504	6.40753e-06	2.73439	-4.22822e-07	156.11	14.499	13.309
44.18852734565735	32.0	4.2697	4.3685	3.51017e-06	4.23441	1.31783e-06	0.664066	6.38518e-06	2.68752	-4.19097e-07	154.813	14.499	13.309
44.937570095062256	32.0	4.2702	4.3688	3.5111e-06	4.19534	1.31597e-06	0.484377	6.38518e-06	2.59377	-4.15372e-07	155.017	14.499	13.309
45.69261336326599	32.0	4.2696	4.3691	3.52041e-06	4.28909	1.32062e-06	0.226563	6.4187e-06	2.57814	-4.17234e-07	154.54	14.499	13.309
46.439656019210815	32.0	4.2693	4.3689	3.52041e-06	4.38284	1.32528e-06	0.367189	6.44851e-06	2.75002	-4.13509e-07	154.267	14.499	13.309
47.19569945335388	32.0	4.2691	4.3694	3.50551e-06	4.26566	1.32342e-06	0.921879	6.42615e-06	2.4297	-4.09784e-07	154.087	14.499	13.309
47.95074248313904	32.0	4.2696	4.3688	3.50738e-06	4.32034	1.32062e-06	1.00782	6.4187e-06	2.4297	-4.15372e-07	155.196	14.499	13.309
48.706785678863525	32.0	4.2697	4.3684	3.51576e-06	4.35159	1.31783e-06	1.09376	6.43361e-06	2.63283	-4.26548e-07	155.72	14.499	13.309
49.45582866668701	32.0	4.2695	4.3682	3.51855e-06	4.18753	1.32062e-06	1.06251	6.44851e-06	2.95314	-4.2096e-07	155.845	14.499	13.309
50.214871883392334	32.0	4.2697	4.3685	3.51669e-06	4.12503	1.32062e-06	1.23438	6.44851e-06	3.13283	-4.26548e-07	156.657	14.499	13.309
50.96391487121582	32.0	4.2698	4.3684	3.51296e-06	4.11722	1.31783e-06	1.29688	6.45596e-06	2.97658	-4.26548e-07	156.282	14.499	13.309
51.71495771408081	32.0	4.2694	4.3682	3.51855e-06	4.21878	1.31876e-06	0.867191	6.46341e-06	2.85939	-4.13509e-07	154.923	14.499	13.309
52.469000816345215	32.0	4.2695	4.3683	3.51483e-06	4.22659	1.32621e-06	0.570316	6.48203e-06	2.85158	-4.22822e-07	155.173	14.499	13.309
53.220043897628784	32.0	4.2696	4.3686	3.5111e-06	4.31253	1.329e-06	0.742191	6.47458e-06	2.91408	-4.19097e-07	154.438	14.499	13.309
53.97308683395386	32.0	4.2699	4.3699	3.51017e-06	4.41409	1.31969e-06	0.546879	6.45968e-06	2.92189	-4.15372e-07	154.821	14.499	13.309
54.73113036155701	32.0	4.2696	4.3693	3.51017e-06	4.31253	1.32062e-06	0.664066	6.45968e-06	2.82814	-4.15372e-07	155.196	14.499	13.309
55.481173038482666	32.0	4.2696	4.3693	3.51389e-06	4.27347	1.33366e-06	0.851566	6.48203e-06	2.88283	-4.06058e-07	154.86	14.499	13.309
56.24721693992615	32.0	4.2694	4.3694	3.51948e-06	4.29691	1.33552e-06	0.796879	6.45223e-06	2.95314	-4.13509e-07	155.118	14.499	13.309
56.98425912857056	32.0	4.2692	4.369	3.51483e-06	4.28909	1.31969e-06	0.664066	6.47086e-06	3.03127	-4.17234e-07	155.478	14.499	13.309
57.73830246925354	32.0	4.2694	4.3687	3.51576e-06	4.31253	1.31969e-06	0.718754	6.46341e-06	2.97658	-4.26548e-07	155.72	14.499	13.309
58.4883451461792	32.0	4.2693	4.3688	3.51855e-06	4.21878	1.32062e-06	1.15626	6.47458e-06	2.78908	-4.26548e-07	156.282	14.499	13.309
59.24238848686218	32.0	4.2698	4.3689	3.52693e-06	4.20316	1.30665e-06	1.39845	6.48203e-06	2.96877	-4.26548e-07	156.095	14.499	13.309
59.99743151664734	32.0	4.2698	4.3692	3.52041e-06	4.24222	1.30945e-06	1.21876	6.46713e-06	2.82814	-4.30273e-07	155.97	14.499	13.309
60.753474712371826	32.0	4.2694	4.3695	3.51576e-06	4.29691	1.329e-06	0.890629	6.43733e-06	2.89845	-4.2096e-07	154.712	14.499	13.309
61.496517181396484	32.0	4.2691	4.3693	3.51576e-06	4.31253	1.3318e-06	0.945316	6.44478e-06	2.75002	-4.17234e-07	155.29	14.499	13.309
62.23555946350098	32.0	4.2696	4.3698	3.52041e-06	4.24222	1.32062e-06	1.15626	6.45968e-06	2.71095	-4.26548e-07	155.72	14.499	13.309
62.99460291862488	32.0	4.2698	4.3695	3.51669e-06	4.20316	1.30665e-06	1.3672	6.45968e-06	2.77345	-4.22822e-07	155.923	14.499	13.309
63.73964548110962	32.0	4.2694	4.3696	3.5111e-06	4.21097	1.31224e-06	1.33595	6.42988e-06	2.69533	-4.15372e-07	155.962	14.499	13.309
64.48768830299377	32.0	4.2696	4.3693	3.51389e-06	4.28128	1.31503e-06	1.59376	6.42988e-06	2.75783	-4.15372e-07	155.962	14.499	13.309
65.23773121833801	32.0	4.2696	4.3689	3.52414e-06	4.13284	1.31503e-06	1.70313	6.42615e-06	2.96877	-4.2096e-07	156.415	14.499	13.309
65.99577450752258	32.0	4.2695	4.3689	3.52135e-06	4.28128	1.30945e-06	1.31251	6.42243e-06	2.93752	-4.24685e-07	156.954	14.499	13.309
66.74281716346741	32.0	4.2694	4.3696	3.51669e-06	4.13284	1.31131e-06	1.3047	6.42988e-06	2.84377	-4.17234e-07	156.056	14.499	13.309
67.50186085700989	32.0	4.2694	4.3696	3.51576e-06	4.06253	1.31131e-06	1.15626	6.43361e-06	2.89845	-4.22822e-07	155.36	14.499	13.309
68.25590395927429	32.0	4.2696	4.3699	3.51948e-06	4.01566	1.30945e-06	1.07813	6.42988e-06	2.9922	-4.2096e-07	154.712	14.499	13.309
68.97994542121887	32.0	4.2696	4.3699	3.51389e-06	4.04691	1.31783e-06	0.484377	6.43361e-06	2.8672	-4.17234e-07	154.54	14.499	13.309
69.73798847198486	32.0	4.2694	4.3691	3.50644e-06	4.25003	1.32621e-06	0.890629	6.44106e-06	2.9297	-4.19097e-07	155.946	14.499	13.309
70.49103164672852	32.0	4.2696	4.3688	3.49992e-06	4.32034	1.32249e-06	1.38282	6.42988e-06	2.87502	-4.13509e-07	156.962	14.499	13.309
71.24507474899292	32.0	4.27	4.369	3.50179e-06	4.28909	1.31597e-06	0.664066	6.41498e-06	2.60939	-4.15372e-07	156.353	14.499	13.309
72.00711846351624	32.0	4.2701	4.3688	3.50086e-06	4.25784	1.3169e-06	0.898441	6.3889e-06	2.56252	-4.19097e-07	156.134	14.499	13.309
72.75016069412231	32.0	4.2694	4.3688	3.50179e-06	4.28909	1.31131e-06	0.843754	6.41498e-06	2.78908	-4.15372e-07	155.774	14.499	13.309
73.50820422172546	32.0	4.2701	4.3685	3.50924e-06	4.26566	1.30945e-06	0.750004	6.45223e-06	2.71095	-4.2096e-07	156.415	14.499	13.309
74.26124739646912	32.0	4.2699	4.3689	3.51389e-06	4.25003	1.30758e-06	0.671879	6.47086e-06	2.76564	-4.2841e-07	156.36	14.499	13.309
75.02029061317444	32.0	4.27	4.3696	3.51389e-06	4.23441	1.31783e-06	0.781254	6.45968e-06	2.7422	-4.19097e-07	155.376	14.499	13.309
75.77433395385742	32.0	4.2698	4.3697	3.51296e-06	4.30472	1.32621e-06	0.921879	6.45596e-06	2.89064	-4.09784e-07	154.657	14.499	13.309
76.539377450943	32.0	4.2697	4.3694	3.51948e-06	4.28909	1.32994e-06	1.0547	6.43361e-06	2.9297	-4.17234e-07	154.728	14.499	13.309
77.29342079162598	32.0	4.27	4.3688	3.51855e-06	4.31253	1.32062e-06	1.46876	6.45596e-06	2.89064	-4.15372e-07	155.196	14.499	13.309
78.05546426773071	32.0	4.2701	4.3688	3.51017e-06	4.26566	1.31783e-06	1.53126	6.42988e-06	2.57814	-4.15372e-07	155.587	14.499	13.309
78.80550718307495	32.0	4.2692	4.3686	3.51576e-06	4.24222	1.32714e-06	1.37501	6.42615e-06	2.57814	-4.15372e-07	155.196	14.499	13.309
79.54954981803894	32.0	4.2688	4.3694	3.51389e-06	4.28909	1.32714e-06	1.43751	6.42615e-06	2.72658	-4.15372e-07	155.196	14.499	13.309
