time,abs_time,platform_position,is_rotating,F_1,V1_R,V1_theta,V1_X,V1_Y,Vout_1,F_2,V2_R,V2_theta,V2_X,V2_Y,Vout_2,F_3,V3_R,V3_theta,V3_X,V3_Y,Vout_3,F_4,V4_R,V4_theta,V4_X,V4_Y,Vout_4,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
14.060844,1723639078.148772,0,0,313.3,4.92557e-07,-144.36,-4.002981995506716e-07,-2.8700827459411464e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393242.608852,0.0012456420809030533,-7.71000905119016,35.489,34.39,3.117,2.845,3.068,2.991,5.703,3.039,296.783,0.0,1.2866,0.011775414806992474,12.8,0.0,296.8,300.0,0.001,0.001
15.070782,1723639079.15871,0,0,313.3,5.90811e-07,-168.834,-5.796270916980836e-07,-1.1441185380292249e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393243.65879,0.00087195128435269,-8.193236622556363,35.484,34.384,3.141,2.932,3.069,2.991,5.7,3.039,296.749,0.0,1.2865,0.01177395540826779,14.3,0.0,296.8,300.0,0.0005,0.0005
16.140903,1723639080.228831,0,0,313.3,5.86853e-07,-140.34,-4.51786030634034e-07,-3.745474951630883e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393244.768904,0.00087195128435269,-7.613363536151196,35.479,34.38,2.976,2.781,3.068,2.99,5.701,3.039,296.822,0.0,1.2865,0.011776134846324917,12.7,0.0,296.8,300.0,0.0005,0.0005
17.190839,1723639081.278767,0,0,313.3,7.20964e-07,-143.712,-5.81134658350053e-07,-4.2669848624100754e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,90.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393246.038827,0.00087195128435269,-8.06437593748194,35.479,34.383,3.021,2.753,3.068,2.99,5.704,3.039,296.813,0.0,1.2864,0.011775421830514221,14.3,0.0,296.8,300.0,0.0,0.0
18.276115,1723639082.364043,0,0,313.3,6.92558e-07,-128.052,-4.2687640513148297e-07,-5.453559554144632e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393246.892626,0.0004777661233674735,-6.872414579011961,35.465,34.38,3.13,2.902,3.069,2.991,5.702,3.04,296.825,0.0,1.2867,0.011777113048194371,13.2,0.0,296.8,300.0,0.0005,0.0005
19.469641,1723639083.557569,0,0,313.3,6.40288e-07,-139.452,-4.865302759847912e-07,-4.1624153263959974e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393248.05764,0.001266135717742145,-7.903300080501818,35.465,34.383,2.99,2.941,3.069,2.991,5.701,3.04,296.733,0.0,1.2863,0.01177258908718364,14.3,0.0,296.8,300.0,0.001,0.001
20.571691,1723639084.659619,0,0,313.3,5.88949e-07,-157.938,-5.458249459670279e-07,-2.2121494741787016e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393249.157573,0.001266135717742145,-7.71000905119016,35.455,34.383,3.004,2.739,3.068,2.99,5.703,3.04,296.786,0.0,1.2862,0.011773727101002354,12.9,0.0,296.8,300.0,0.001,0.001
21.693092,1723639085.78102,0,0,313.3,6.92209e-07,-153.42,-6.19049762889709e-07,-3.097268001758888e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393250.357648,0.001266135717742145,-7.999945594774878,35.451,34.381,3.123,2.868,3.069,2.991,5.703,3.04,296.791,0.0,1.2863,0.011774320695571487,11.7,0.0,296.8,300.0,0.001,0.001
22.783028,1723639086.870956,0,0,313.3,3.61704e-07,166.302,-3.5141619296878124e-07,8.565303809747975e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393251.371026,0.00087195128435269,-7.6777938795389025,35.447,34.388,3.11,2.95,3.069,2.991,5.7,3.04,296.749,0.0,1.2865,0.01177395540826779,12.5,0.0,296.8,300.0,0.0005,0.0005
23.802965,1723639087.890893,0,0,313.3,3.51693e-07,179.172,-3.516562767102578e-07,5.0822533662359765e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393252.400961,0.0016603197436779737,-7.6777938795389025,35.44,34.385,2.973,2.761,3.068,2.99,5.701,3.04,296.797,0.0,1.2863,0.01177449982747368,14.3,0.0,296.8,300.0,0.001,0.001
