-36000	0.001440761
-30000	0.001181611
-24000	9.258459E-4
-18000	6.707481E-4
-12000	4.188848E-4
-6000	1.700382E-4
-5000	1.316094E-4
-4333.333	1.049509E-4
-3666.667	8.411713E-5
-3000	5.471852E-5
-2333.333	3.105244E-5
-1666.667	1.631765E-5
-1000	-7.18959E-6
-800	8.183064E-6
-533.3333	-1.895717E-5
-266.6667	-2.007267E-5
0	-1.62536E-5
266.6667	7.061207E-6
533.3333	1.151128E-5
800	1.116995E-5
1000	-3.047407E-6
1800	-7.820479E-5
2600	-6.618422E-5
3400	-7.829439E-5
4200	-8.505515E-5
5000	-1.477981E-4
0	5.577803E-7
