time,abs_time,angle,is_rotating,Freq_272,V_272_R,V_272_theta,V_272_X,V_272_Y,Vout_272,Harm_272,Freq_363,V_363_R,V_363_theta,V_363_X,V_363_Y,Vout_363,Harm_363,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
55032.240343,1619077192.721877,185.0024,0,237.1,1.39056e-05,70.98,4.531809771597033e-06,1.3146422005780038e-05,1.45,1,313.1,7.99826e-06,75.444,2.010171786078806e-06,7.74153553360396e-06,1.0,1,39.577,48.94,3.548,3.723,3.439,3.621,5.858,3.484,2.27305,2.99973,-4068.6,0.4,9.0,2.273,3.0,-15.9723,-15.9723,0.009123368188738823,-15.773091426538599
55032.473268,1619077192.954802,185.0024,0,237.1,1.39038e-05,70.974,4.53259964190868e-06,1.3144245696355852e-05,1.45,1,313.1,7.99733e-06,75.408,2.014801240357309e-06,7.73937097513452e-06,1.0,1,39.582,48.94,3.548,3.723,3.439,3.621,5.858,3.484,2.27309,3.00022,-4068.6,0.4,8.9,2.273,3.0,-15.9723,-15.9723,0.008729401975870132,-15.773091426538599
55032.588231,1619077193.069765,185.0024,0,237.1,1.39047e-05,70.986,4.530139837397317e-06,1.3146045608608916e-05,1.45,1,313.1,7.99733e-06,75.378,2.018853289154037e-06,7.738314966823974e-06,1.0,1,39.582,48.942,3.548,3.723,3.439,3.621,5.858,3.484,2.27304,3.00029,-4068.6,0.4,9.0,2.273,3.0,-15.9723,-15.9723,0.008729401975870132,-15.773091426538599
55032.702195,1619077193.183729,185.0024,0,237.1,1.39047e-05,71.004,4.52600966188104e-06,1.3147468145257453e-05,1.45,1,313.1,7.99733e-06,75.366,2.0204739537605096e-06,7.737891969462701e-06,1.0,1,39.582,48.942,3.584,3.723,3.439,3.621,5.858,3.484,2.27302,2.99989,-4068.6,0.4,9.0,2.273,3.0,-15.9723,-15.9723,0.008729401975870132,-15.773091426538599
55032.815157,1619077193.296691,185.0024,0,237.1,1.39019e-05,71.028,4.519591769463078e-06,1.3146714945088055e-05,1.45,1,313.1,7.99826e-06,75.36,2.021519305575971e-06,7.738580149147751e-06,1.0,1,39.582,48.942,3.584,3.627,3.439,3.621,5.856,3.484,2.27302,2.99993,-4068.6,0.4,9.0,2.273,3.0,-15.9723,-15.9723,0.008729401975870132,-15.773091426538599
55032.930121,1619077193.411655,185.0024,0,237.1,1.38973e-05,71.058,4.511214336493034e-06,1.314472869633374e-05,1.45,1,313.1,8.00012e-06,75.36,2.0219894110624607e-06,7.740379760447886e-06,1.0,1,39.579,48.948,3.584,3.627,3.439,3.621,5.856,3.484,2.27291,2.99996,-4068.5,0.4,9.0,2.273,3.0,-15.9723,-15.9723,0.009123368188738823,-15.772806830309499
55033.24402,1619077193.725554,185.0024,0,237.1,1.38824e-05,71.088,4.499501832743722e-06,1.3132993299973007e-05,1.45,1,313.1,8.01223e-06,75.456,2.0120585526879082e-06,7.755478705628392e-06,1.0,1,39.579,48.948,3.57,3.627,3.439,3.621,5.856,3.484,2.273,3.0003,-4068.6,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.009123368188738823,-15.773091426538599
55033.377977,1619077193.860511,185.0024,0,237.1,1.38786e-05,71.088,4.498270193620484e-06,1.3129398433484511e-05,1.45,1,313.1,8.01642e-06,75.504,2.006609441745332e-06,7.761218213959615e-06,1.0,1,39.583,48.948,3.57,3.54,3.439,3.621,5.856,3.484,2.27301,2.99997,-4068.6,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.010699134320020676,-15.773091426538599
55033.494946,1619077193.97648,185.0024,0,237.1,1.38768e-05,71.088,4.497686785614741e-06,1.312769560198996e-05,1.45,1,313.1,8.01781e-06,75.534,2.0028926320903427e-06,7.763613739774682e-06,1.0,1,39.583,48.948,3.57,3.54,3.439,3.621,5.856,3.484,2.27303,2.99976,-4068.6,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.009123368188738823,-15.773091426538599
55033.607907,1619077194.089441,185.0024,0,237.1,1.38777e-05,71.088,4.4979784896176126e-06,1.3128547017737236e-05,1.45,1,313.1,8.01781e-06,75.552,2.000453522102655e-06,7.764242583923244e-06,1.0,1,39.583,48.951,3.57,3.54,3.439,3.621,5.856,3.484,2.27301,3.0001,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.008729401975870132,-15.772806830309499
55033.720887,1619077194.202421,185.0024,0,237.1,1.38796e-05,71.088,4.498594309179231e-06,1.3130344450981484e-05,1.45,1,313.1,8.01642e-06,75.558,1.9992937757912804e-06,7.76310595151723e-06,1.0,1,39.583,48.951,3.437,3.54,3.439,3.621,5.856,3.484,2.27289,3.0004,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.008729401975870132,-15.772806830309499
55033.836851,1619077194.318385,185.0024,0,237.1,1.38833e-05,71.094,4.49841813907382e-06,1.3134315860982316e-05,1.45,1,313.1,8.01502e-06,75.546,2.0005701893358152e-06,7.761331362462298e-06,1.0,1,39.583,48.951,3.437,3.537,3.439,3.621,5.856,3.484,2.27285,2.99999,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.009123368188738823,-15.772806830309499
55033.973805,1619077194.455339,185.0024,0,237.1,1.38861e-05,71.1,4.497949660841325e-06,1.3137435901215178e-05,1.45,1,313.1,8.01362e-06,75.522,2.0034710610687697e-06,7.75913714351409e-06,1.0,1,39.58,48.955,3.437,3.537,3.439,3.621,5.856,3.484,2.27292,3.00038,-4068.6,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.008729401975870132,-15.773091426538599
55034.244719,1619077194.726253,185.0024,0,237.1,1.38851e-05,71.1,4.497625743423127e-06,1.313648981585635e-05,1.45,1,313.1,8.01781e-06,75.378,2.024023279058402e-06,7.758131666962715e-06,1.0,1,39.58,48.955,3.391,3.602,3.439,3.621,5.856,3.484,2.27302,3.00017,-4068.6,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.009123368188738823,-15.773091426538599
55034.477645,1619077194.959179,185.0024,0,237.1,1.38805e-05,71.094,4.497510892901123e-06,1.3131666916969671e-05,1.45,1,313.1,8.01921e-06,75.318,2.0325012999404947e-06,7.757362147653041e-06,1.0,1,39.577,48.955,3.391,3.602,3.439,3.621,5.856,3.484,2.27304,2.99994,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.008335464634001255,-15.772806830309499
55034.591607,1619077195.073141,185.0024,0,237.1,1.38758e-05,71.082,4.498737275395939e-06,1.3126278549800897e-05,1.45,1,313.1,8.01921e-06,75.27,2.0389993784522994e-06,7.75565668133725e-06,1.0,1,39.577,48.942,3.391,3.602,3.439,3.621,5.856,3.484,2.27298,2.9997,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.009123368188738823,-15.772806830309499
55034.711568,1619077195.193102,185.0024,0,237.1,1.3873e-05,71.064,4.5019521623183134e-06,1.3122216113454217e-05,1.45,1,313.1,8.01595e-06,75.222,2.0446644830276507e-06,7.750793608034295e-06,1.0,1,39.577,48.942,3.375,3.602,3.439,3.621,5.856,3.484,2.27299,2.99991,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.009123368188738823,-15.772806830309499
55034.826533,1619077195.308067,185.0024,0,237.1,1.38721e-05,71.058,4.5030341431260036e-06,1.3120893335281766e-05,1.45,1,313.1,8.01129e-06,75.186,2.0483425682857404e-06,7.745002271597379e-06,1.0,1,39.577,48.942,3.375,3.665,3.439,3.621,5.858,3.484,2.27314,3.00003,-4068.5,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.008729401975870132,-15.772806830309499
55034.959489,1619077195.441023,185.0024,0,237.1,1.3874e-05,71.058,4.503650903737009e-06,1.312269044583727e-05,1.45,1,313.1,8.00338e-06,75.156,2.050371112761143e-06,7.736282681259433e-06,1.0,1,39.578,48.942,3.375,3.665,3.439,3.621,5.858,3.484,2.27302,2.99959,-4068.6,0.4,9.0,2.273,3.0,-15.974,-15.974,0.008729401975870132,-15.773091426538599
