time,abs_time,angle,is_rotating,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
103567.671694,1619454873.290951,237.599,1,36.829,7.83388e-06,-34.872,6.427160988151604e-06,-4.478981746645335e-06,1,13.2165,1.5312e-05,-0.09,1.531198110958106e-05,-2.4052023464882416e-08,1,36.83,1.6641e-05,-4.968,1.6578483418497276e-05,-1.4410997684445136e-06,5.0,1,13.217,4.63056e-06,22.89,4.265918710836449e-06,1.801117282726333e-06,5.0,1,39.534,48.962,3.475,3.75,3.475,3.655,5.888,3.534,2.2731,3.00395,4107.1,0.4,9.0,2.273,3.0,15.9729,15.9729,0.009440227411687374,15.770365726227796
103568.223519,1619454873.842776,237.561,1,36.8299,7.84179e-06,-35.052,6.4195335307659604e-06,-4.5036940006478566e-06,1,13.2165,1.53017e-05,-0.042,1.5301695888853206e-05,-1.1216730933858801e-08,1,36.83,1.66354e-05,-5.01,1.6571843978064767e-05,-1.4527629974219946e-06,5.0,1,13.217,4.63243e-06,22.932,4.266319486930655e-06,1.8049725040387055e-06,5.0,1,39.533,48.962,3.561,3.768,3.475,3.655,5.888,3.534,2.27326,3.00572,4106.9,0.4,9.0,2.273,3.0,15.9756,15.9756,0.00983407348394394,15.769808429118772
103568.522421,1619454874.141678,237.5408,1,36.8309,7.84319e-06,-35.1,6.4169036822107705e-06,-4.509875442773323e-06,1,13.2165,1.53027e-05,-0.018,1.5302699244842028e-05,-4.807484910928893e-09,1,36.83,1.66317e-05,-5.028,1.6567700998977364e-05,-1.4576448464850745e-06,5.0,1,13.217,4.63615e-06,22.932,4.269745487645481e-06,1.806421958798955e-06,5.0,1,39.537,48.959,3.611,3.704,3.475,3.655,5.887,3.534,2.27326,3.00551,4107.0,0.4,9.0,2.273,3.0,15.9756,15.9756,0.009419044479727745,15.770087077673285
103569.527098,1619454875.146355,237.4354,1,36.829,7.84319e-06,-35.43,6.390822374806295e-06,-4.546759147983895e-06,1,13.2165,1.53567e-05,0.168,1.535663398526382e-05,4.502813165469967e-08,1,36.83,1.66242e-05,-5.124,1.6557765408975984e-05,-1.484732400575401e-06,5.0,1,13.217,4.68831e-06,22.968,4.316634544820723e-06,1.829458078929495e-06,5.0,1,39.533,48.951,3.459,3.56,3.475,3.655,5.885,3.534,2.27333,3.0037,4106.9,0.4,8.9,2.273,3.0,15.9729,15.9729,0.009812891483306885,15.769808429118772
103570.375826,1619454875.995083,237.373,1,36.8309,7.83714e-06,-35.556,6.375886121192644e-06,-4.557284229580485e-06,1,13.2165,1.54079e-05,0.162,1.540783841174058e-05,4.3564752856939084e-08,1,36.83,1.66242e-05,-5.13,1.6557609837374752e-05,-1.4864663175702323e-06,5.0,1,13.217,4.69948e-06,22.92,4.328453796201048e-06,1.8301912480811223e-06,5.0,1,39.533,48.951,3.459,3.59,3.475,3.655,5.885,3.534,2.27344,3.00428,4107.1,0.4,9.0,2.273,3.0,15.9729,15.9729,0.009812891483306885,15.770365726227796
103570.571764,1619454876.191021,237.3579,1,36.8299,7.83481e-06,-35.556,6.373990555378793e-06,-4.555929338350404e-06,1,13.217,1.54237e-05,0.138,1.5423655262545292e-05,3.7148784084361624e-08,1,36.83,1.66242e-05,-5.13,1.6557609837374752e-05,-1.4864663175702323e-06,5.0,1,13.217,4.7088e-06,22.842,4.339530442608443e-06,1.8279149262683346e-06,5.0,1,39.534,48.96,3.427,3.658,3.475,3.655,5.887,3.534,2.27344,3.00304,4107.1,0.4,8.9,2.273,3.0,15.9729,15.9729,0.010206736624240875,15.770365726227796
103571.590436,1619454877.209693,237.2716,1,36.8299,7.84645e-06,-35.352,6.399665110174543e-06,-4.5399409776025354e-06,1,13.217,1.54899e-05,-0.084,1.548988335315837e-05,-2.2709371352410163e-08,1,36.83,1.66354e-05,-5.13,1.65687649744748e-05,-1.4874677746482745e-06,5.0,1,13.217,4.7535e-06,22.422,4.394133712223642e-06,1.8131053938201371e-06,5.0,1,39.533,48.965,3.531,3.761,3.475,3.655,5.888,3.534,2.27348,3.00422,4107.0,0.4,9.0,2.273,3.0,15.9734,15.9734,0.009812891483306885,15.770087077673285
103572.333198,1619454877.952455,237.2006,1,36.8309,7.88091e-06,-35.016,6.454400978576904e-06,-4.52210685807462e-06,1,13.216,1.55225e-05,-0.246,1.5522356927569462e-05,-6.664580359154735e-08,1,36.83,1.66503e-05,-5.124,1.6583761106644096e-05,-1.4870634309801736e-06,5.0,1,13.217,4.77213e-06,22.266,4.416294834686062e-06,1.8081937589830388e-06,5.0,1,39.531,48.956,3.6,3.747,3.475,3.655,5.888,3.534,2.27318,3.00278,4106.9,0.4,9.0,2.273,3.0,15.9734,15.9734,0.009419044479727745,15.769808429118772
103572.632103,1619454878.25136,237.1852,1,36.8299,7.88836e-06,-34.95,6.465712197788122e-06,-4.518936740536859e-06,1,13.2165,1.55253e-05,-0.27,1.552512761817864e-05,-7.31609818602342e-08,1,36.83,1.6654e-05,-5.118,1.6587601989061886e-05,-1.4856568420971741e-06,5.0,1,13.217,4.77026e-06,22.23,4.415699076714437e-06,1.8047110936388862e-06,5.0,1,39.533,48.964,3.64,3.65,3.475,3.655,5.887,3.534,2.27329,3.00187,4106.9,0.4,9.1,2.273,3.0,15.9734,15.9734,0.009812891483306885,15.769808429118772
103573.360868,1619454878.980125,237.1152,1,36.829,7.91909e-06,-34.716,6.509373479875943e-06,-4.509993717023089e-06,1,13.217,1.55225e-05,-0.36,1.5522193599139386e-05,-9.753010220538881e-08,1,36.83,1.66633e-05,-5.094,1.6597486112730334e-05,-1.4795342604088789e-06,5.0,1,13.217,4.76095e-06,22.278,4.405570557790465e-06,1.8048803181457225e-06,5.0,1,39.537,48.97,3.603,3.562,3.475,3.655,5.886,3.534,2.27337,3.00008,4107.0,0.4,8.9,2.273,3.0,15.974,15.974,0.00979164894670248,15.770087077673285
