time,abs_time,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
4.184653,1619168903.991214,36.8299,1.02213e-05,-27.534,9.063601523806828e-06,-4.725050381492937e-06,1,13.217,2.17111e-05,-0.654,2.1709685648522423e-05,-2.4781495584324525e-07,1,36.83,1.66335e-05,-5.946,1.654401126118479e-05,-1.723082598075562e-06,5.0,1,13.217,4.69576e-06,16.83,4.494631346752954e-06,1.3595775205503093e-06,5.0,1,39.713,49.101,3.389,3.577,3.438,3.618,5.851,3.476,2.27284,2.99999,4105.9,0.4,9.0,2.273,3.0,0,0,0.008811015635728836,15.767021943573667
5.133349,1619168904.93991,36.8299,1.02195e-05,-27.528,9.062500067094254e-06,-4.723269289794582e-06,1,13.2165,2.17446e-05,-0.162,2.174451308276496e-05,-6.148132613613779e-08,1,36.83,1.66354e-05,-5.94,1.6546081409802274e-05,-1.7215467290188788e-06,5.0,1,13.217,4.68644e-06,16.956,4.482715763511134e-06,1.3667403766512463e-06,5.0,1,39.704,49.101,3.389,3.577,3.437,3.618,5.851,3.476,2.27293,2.99959,4105.8,0.4,9.0,2.273,3.0,0,0,0.00841699168086052,15.766743295019158
5.359276,1619168905.165837,36.8299,1.02195e-05,-27.534,9.06200539780105e-06,-4.724218286682424e-06,1,13.2165,2.17539e-05,-0.09,2.175387316220712e-05,-3.417093216122685e-08,1,36.83,1.66354e-05,-5.94,1.6546081409802274e-05,-1.7215467290188788e-06,5.0,1,13.217,4.68644e-06,16.998,4.481712686195289e-06,1.3700260114305166e-06,5.0,1,39.704,49.094,3.363,3.577,3.437,3.618,5.851,3.476,2.27289,3.00007,4105.9,0.4,9.0,2.273,3.0,0,0,0.009205070324242115,15.767021943573667
5.556213,1619168905.362774,36.8309,1.02195e-05,-27.54,9.061510629131836e-06,-4.725167231763415e-06,1,13.2165,2.17614e-05,-0.042,2.1761394153309123e-05,-1.595193792481064e-08,1,36.83,1.66354e-05,-5.934,1.6546261599029792e-05,-1.7198140179891854e-06,5.0,1,13.217,4.68272e-06,17.028,4.4774378061878e-06,1.371283081686704e-06,5.0,1,39.715,49.094,3.363,3.627,3.437,3.618,5.853,3.476,2.27297,2.99984,4105.9,0.4,9.0,2.273,3.0,0,0,0.009205070324242115,15.767021943573667
5.756148,1619168905.562709,36.8299,1.02204e-05,-27.54,9.062308648561967e-06,-4.725583362739352e-06,1,13.217,2.17651e-05,-0.012,2.176509952263794e-05,-4.558471850983656e-09,1,36.83,1.66373e-05,-5.934,1.6548151418152757e-05,-1.720010445284843e-06,5.0,1,13.217,4.68272e-06,17.076,4.476287431674963e-06,1.3750336095633303e-06,5.0,1,39.715,49.104,3.363,3.627,3.438,3.618,5.853,3.476,2.27299,3.00005,4105.9,0.4,9.0,2.273,3.0,0,0,0.009205070324242115,15.767021943573667
5.952087,1619168905.758648,36.828,1.02213e-05,-27.54,9.063106667992098e-06,-4.725999493715289e-06,1,13.217,2.17707e-05,0.006,2.1770699880628783e-05,2.2798223686167357e-09,1,36.83,1.66373e-05,-5.934,1.6548151418152757e-05,-1.720010445284843e-06,5.0,1,13.217,4.68086e-06,17.1,4.473933291248912e-06,1.3763615967668826e-06,5.0,1,39.715,49.104,3.396,3.714,3.438,3.618,5.853,3.476,2.27301,3.00006,4105.9,0.4,9.0,2.273,3.0,0,0,0.009225547313690186,15.767021943573667
6.132029,1619168905.93859,36.8299,1.02213e-05,-27.534,9.063601523806828e-06,-4.725050381492937e-06,1,13.217,2.17707e-05,0.024,2.1770698090060503e-05,9.119289224456447e-09,1,36.83,1.66373e-05,-5.934,1.6548151418152757e-05,-1.720010445284843e-06,5.0,1,13.217,4.68086e-06,17.124,4.473356369770951e-06,1.3782355127588552e-06,5.0,1,39.713,49.104,3.396,3.714,3.438,3.618,5.853,3.476,2.273,3.00002,4105.8,0.4,9.0,2.273,3.0,0,0,0.009225547313690186,15.766743295019158
6.310971,1619168906.117532,36.8299,1.02223e-05,-27.534,9.064488260476704e-06,-4.725512656387666e-06,1,13.2165,2.17707e-05,0.042,2.177069415081047e-05,1.595875518025839e-08,1,36.83,1.66391e-05,-5.934,1.6549941773111353e-05,-1.7201965343017815e-06,5.0,1,13.217,4.67899e-06,17.172,4.470413531678066e-06,1.381430517937707e-06,5.0,1,39.713,49.111,3.476,3.714,3.438,3.618,5.853,3.476,2.27315,2.99977,4105.9,0.4,9.0,2.273,3.0,0,0,0.008831523358821869,15.767021943573667
6.490912,1619168906.297473,36.829,1.02232e-05,-27.534,9.065286323479593e-06,-4.725928703792922e-06,1,13.2165,2.17651e-05,0.054,2.176509033341901e-05,2.0513120442548088e-08,1,36.83,1.66391e-05,-5.934,1.6549941773111353e-05,-1.7201965343017815e-06,5.0,1,13.217,4.68086e-06,17.208,4.4713309642276375e-06,1.3847923122039445e-06,5.0,1,39.713,49.111,3.476,3.728,3.438,3.618,5.854,3.476,2.27299,2.99998,4105.9,0.4,9.0,2.273,3.0,0,0,0.009225547313690186,15.767021943573667
6.676852,1619168906.483413,36.829,1.02241e-05,-27.54,9.06558939510806e-06,-4.7272941234182035e-06,1,13.2165,2.17595e-05,0.042,2.1759494153819602e-05,1.5950545152192278e-08,1,36.83,1.6641e-05,-5.946,1.6551470910955366e-05,-1.723859531341896e-06,5.0,1,13.217,4.68086e-06,17.25,4.470314657211867e-06,1.388069596640151e-06,5.0,1,39.71,49.111,3.476,3.728,3.438,3.618,5.854,3.476,2.27287,2.99967,4105.9,0.4,9.0,2.273,3.0,0,0,0.009225547313690186,15.767021943573667
