10000	299.9926	-1.361603E-4
9000	300.0023	-9.162958E-5
8000	299.9974	-5.488367E-5
7000	299.9974	-1.203866E-5
6000	299.9926	2.580017E-5
5000	299.9974	1.033862E-4
4000	299.9926	1.273892E-4
3000	300.0023	1.325671E-4
3000	299.9877	1.434531E-4
2700	299.9829	1.525261E-4
2400	299.9878	1.620121E-4
2100	299.9829	1.698626E-4
1800	299.9877	1.764403E-4
1500	299.9877	1.786555E-4
1200	300.0023	1.816771E-4
900	299.9926	1.759527E-4
600	299.9878	1.56362E-4
300	299.9829	1.136979E-4
0	299.9636	8.281643E-6
-300	299.9878	-1.007095E-4
-600	299.9877	-1.534493E-4
-900	299.9926	-1.774551E-4
-1200	299.9974	-1.844733E-4
-1500	299.9684	-1.744624E-4
-1800	299.978	-1.436237E-4
-2100	299.9926	-1.894761E-4
-2400	299.9926	-1.602493E-4
-2700	299.9974	-1.680049E-4
-6000	299.9974	-2.960279E-5
-16000	299.9878	3.703565E-4
-26000	299.9926	7.732013E-4
-36000	299.9926	0.001164491
